threshold,tp,tn,fp,fn,n,positives,negatives,flagged,passed,recall,specificity,fpr,fnr,precision,npv,accuracy,f1,recall_lo,recall_hi,fpr_lo,fpr_hi
0.49940047961630696,54,453,399,0,906,54,852,453,453,1.0,0.5316901408450704,0.46830985915492956,0.0,0.11920529801324503,1.0,0.5596026490066225,0.21301775147928995,1.0,1.0,0.43786805299963194,0.5005820721769499
0.5030706305715863,54,454,398,0,906,54,852,452,454,1.0,0.5328638497652582,0.4671361502347418,0.0,0.11946902654867257,1.0,0.5607064017660044,0.2134387351778656,1.0,1.0,0.43720196696370356,0.49883734388458223
0.5057390701854748,54,455,397,0,906,54,852,451,455,1.0,0.534037558685446,0.465962441314554,0.0,0.1197339246119734,1.0,0.5618101545253863,0.21386138613861386,1.0,1.0,0.43668472372697725,0.4969921155579709
0.5070784537783307,54,456,396,0,906,54,852,450,456,1.0,0.5352112676056338,0.4647887323943662,0.0,0.12,1.0,0.5629139072847682,0.21428571428571427,1.0,1.0,0.43566184033018557,0.4959254947613504
0.5073025649730271,54,458,394,0,906,54,852,448,458,1.0,0.5375586854460094,0.4624413145539906,0.0,0.12053571428571429,1.0,0.565121412803532,0.2151394422310757,1.0,1.0,0.4340684899725003,0.4927365161245043
0.5079541035874963,54,459,393,0,906,54,852,447,459,1.0,0.5387323943661971,0.4612676056338028,0.0,0.12080536912751678,1.0,0.5662251655629139,0.2155688622754491,1.0,1.0,0.43317863278161045,0.4912753300053274
0.5091296990751633,54,460,392,0,906,54,852,446,460,1.0,0.539906103286385,0.460093896713615,0.0,0.1210762331838565,1.0,0.5673289183222958,0.216,1.0,1.0,0.4320550466449365,0.48997316304510247
0.5113537025598626,54,461,391,0,906,54,852,445,461,1.0,0.5410798122065728,0.45892018779342725,0.0,0.12134831460674157,1.0,0.5684326710816777,0.21643286573146292,1.0,1.0,0.43144091208972457,0.4881803659842098
0.5124093953995836,54,462,390,0,906,54,852,444,462,1.0,0.5422535211267606,0.45774647887323944,0.0,0.12162162162162163,1.0,0.5695364238410596,0.21686746987951808,1.0,1.0,0.43107220692015125,0.4863590515698372
0.5126353790613718,54,462,390,0,906,54,852,444,462,1.0,0.5422535211267606,0.45774647887323944,0.0,0.12162162162162163,1.0,0.5695364238410596,0.21686746987951808,1.0,1.0,0.43107220692015125,0.4863590515698372
0.5131279290370468,54,464,388,0,906,54,852,442,464,1.0,0.5446009389671361,0.45539906103286387,0.0,0.12217194570135746,1.0,0.5717439293598234,0.21774193548387097,1.0,1.0,0.42823414347596744,0.4846353775552774
0.5132211538461539,54,464,388,0,906,54,852,442,464,1.0,0.5446009389671361,0.45539906103286387,0.0,0.12217194570135746,1.0,0.5717439293598234,0.21774193548387097,1.0,1.0,0.42823414347596744,0.4846353775552774
0.5145192116983105,54,467,385,0,906,54,852,439,467,1.0,0.5481220657276995,0.4518779342723005,0.0,0.12300683371298406,1.0,0.5750551876379691,0.21906693711967545,1.0,1.0,0.42333883241977543,0.4812123346137431
0.5158888360682189,54,468,384,0,906,54,852,438,468,1.0,0.5492957746478874,0.4507042253521127,0.0,0.1232876712328767,1.0,0.5761589403973509,0.21951219512195122,1.0,1.0,0.42325361482214524,0.4788781526367507
0.517093345661848,54,469,383,0,906,54,852,437,469,1.0,0.5504694835680751,0.4495305164319249,0.0,0.12356979405034325,1.0,0.5772626931567328,0.219959266802444,1.0,1.0,0.42183771526751107,0.47847001094754626
0.5175332527206772,54,469,383,0,906,54,852,437,469,1.0,0.5504694835680751,0.4495305164319249,0.0,0.12356979405034325,1.0,0.5772626931567328,0.219959266802444,1.0,1.0,0.42183771526751107,0.47847001094754626
0.5180559749534083,54,472,380,0,906,54,852,434,472,1.0,0.5539906103286385,0.4460093896713615,0.0,0.12442396313364056,1.0,0.5805739514348786,0.22131147540983606,1.0,1.0,0.41784037558685444,0.47630204703535167
0.5223361526056975,54,473,379,0,906,54,852,433,473,1.0,0.5551643192488263,0.4448356807511737,0.0,0.12471131639722864,1.0,0.5816777041942605,0.22176591375770022,1.0,1.0,0.41609154642536883,0.47548518559387726
0.5267192196494117,54,475,377,0,906,54,852,431,475,1.0,0.5575117370892019,0.4424882629107981,0.0,0.12529002320185614,1.0,0.5838852097130243,0.22268041237113403,1.0,1.0,0.4154925385647217,0.4711459036698578
0.528415961305925,54,475,377,0,906,54,852,431,475,1.0,0.5575117370892019,0.4424882629107981,0.0,0.12529002320185614,1.0,0.5838852097130243,0.22268041237113403,1.0,1.0,0.4154925385647217,0.4711459036698578
0.5289086111623652,54,477,375,0,906,54,852,429,477,1.0,0.5598591549295775,0.44014084507042256,0.0,0.1258741258741259,1.0,0.5860927152317881,0.2236024844720497,1.0,1.0,0.41387083914690054,0.4687149476500585
0.5305154372742409,54,478,374,0,906,54,852,428,478,1.0,0.5610328638497653,0.43896713615023475,0.0,0.1261682242990654,1.0,0.58719646799117,0.22406639004149378,1.0,1.0,0.41182614031087805,0.4678584972495416
0.5316822121214031,54,479,373,0,906,54,852,427,479,1.0,0.562206572769953,0.43779342723004694,0.0,0.12646370023419204,1.0,0.5883002207505519,0.22453222453222454,1.0,1.0,0.40930098131469284,0.4675339706589706
0.5323367748882252,54,480,372,0,906,54,852,426,480,1.0,0.5633802816901409,0.43661971830985913,0.0,0.1267605633802817,1.0,0.5894039735099338,0.225,1.0,1.0,0.4081140066494682,0.46659178187403993
0.5326527942714862,54,481,371,0,906,54,852,425,481,1.0,0.5645539906103286,0.4354460093896714,0.0,0.12705882352941175,1.0,0.5905077262693157,0.2254697286012526,1.0,1.0,0.40752675388820514,0.46596415501351374
0.534661407768294,54,482,370,0,906,54,852,424,482,1.0,0.5657276995305164,0.43427230046948356,0.0,0.12735849056603774,1.0,0.5916114790286976,0.22594142259414227,1.0,1.0,0.4072345390898483,0.464330945524375
0.5351765848858909,54,484,368,0,906,54,852,422,484,1.0,0.568075117370892,0.431924882629108,0.0,0.12796208530805686,1.0,0.5938189845474614,0.226890756302521,1.0,1.0,0.40636032375673325,0.46117084826762245
0.5358360727716449,54,485,367,0,906,54,852,421,485,1.0,0.5692488262910798,0.4307511737089202,0.0,0.12826603325415678,1.0,0.5949227373068433,0.22736842105263158,1.0,1.0,0.4042540763571286,0.46004956291420845
0.5364684573267127,54,486,366,0,906,54,852,420,486,1.0,0.5704225352112676,0.4295774647887324,0.0,0.12857142857142856,1.0,0.5960264900662252,0.22784810126582278,1.0,1.0,0.40415527442309157,0.45863018643563935
0.5367955332435524,54,487,365,0,906,54,852,419,487,1.0,0.5715962441314554,0.4284037558685446,0.0,0.1288782816229117,1.0,0.5971302428256071,0.22832980972515857,1.0,1.0,0.4030010315277883,0.45731243218899054
0.5376742945634946,54,488,364,0,906,54,852,418,488,1.0,0.5727699530516432,0.4272300469483568,0.0,0.1291866028708134,1.0,0.5982339955849889,0.2288135593220339,1.0,1.0,0.4015889587161985,0.45639249047532265
