device_variant,components,tp,tn,fp,fn,n,positives,negatives,flagged,passed,recall,specificity,fpr,fnr,precision,npv,accuracy,f1
CMOS_A,441,20,406,6,9,441,29,412,26,415,0.6896551724137931,0.9854368932038835,0.014563106796116505,0.3103448275862069,0.7692307692307693,0.9783132530120482,0.9659863945578231,0.7272727272727273
CMOS_B,458,21,425,2,10,458,31,427,23,435,0.6774193548387096,0.9953161592505855,0.00468384074941452,0.3225806451612903,0.9130434782608695,0.9770114942528736,0.9737991266375546,0.7777777777777778
CMOS_C,444,24,409,5,6,444,30,414,29,415,0.8,0.9879227053140096,0.012077294685990338,0.2,0.8275862068965517,0.9855421686746988,0.9752252252252253,0.8135593220338984
