for,zip,bytes,sha256
Anushka,SIH26170_FINAL_Anushka_ModuleA_Packet.zip,174891,bdf743b74f1bb225960d167c78a13a147239bd4e959d7c74dc0abf73b2f0dbb2
Sanskruti,SIH26170_FINAL_Sanskruti_ModuleA_Packet.zip,202457,72ef5d8fb66ff6a1feac62611337a2b62773f9b2639c446ff65d99adee12188e
Chaitany,SIH26170_FINAL_Chaitany_ModuleA_Packet.zip,44607,9b2481618563944ca584da585466800bb46770c7b7e6362918db71660b7ece9f
Tanisha,SIH26170_FINAL_Tanisha_ModuleA_Packet.zip,44059,453ebf7e789094975fc93299ae7e504c24df27a3e22b54048ec430a6cbb3a740
Riddhi,SIH26170_FINAL_Riddhi_ModuleA_Packet.zip,54755,6c5a9de3f4564531cd59f4cf9a46318926ea2310d5b5a601ac9d3b5d67c4d7ed
Nirmik,SIH26170_FINAL_Nirmik_ModuleA_Packet.zip,804734,8233b9bd1343c8cd0c69e3e32afa4c237b87952dae0d85ff9a4b161b2508e998
