fpr_budget,threshold,tp,tn,fp,fn,n,positives,negatives,flagged,passed,recall,specificity,fpr,fnr,precision,npv,accuracy,f1,recall_lo,recall_hi,fpr_lo,fpr_hi
0.005,0.9479418886198548,43,848,4,11,906,54,852,47,859,0.7962962962962963,0.9953051643192489,0.004694835680751174,0.2037037037037037,0.9148936170212766,0.9871944121071012,0.9834437086092715,0.8514851485148515,0.6730681818181818,0.9024390243902439,0.0011668271440733516,0.011442303655029072
0.01,0.9395405078597341,47,844,8,7,906,54,852,55,851,0.8703703703703703,0.9906103286384976,0.009389671361502348,0.12962962962962962,0.8545454545454545,0.9917743830787309,0.9834437086092715,0.8623853211009175,0.7741935483870968,0.9482758620689655,0.00580046403712297,0.018062286047401475
0.02,0.9261501210653754,48,835,17,6,906,54,852,65,841,0.8888888888888888,0.9800469483568075,0.01995305164319249,0.1111111111111111,0.7384615384615385,0.9928656361474435,0.9746136865342163,0.8067226890756303,0.7843004769475358,0.9677671370967741,0.009603553651676497,0.036783727951692345
0.03,0.9189842805320436,48,828,24,6,906,54,852,72,834,0.8888888888888888,0.971830985915493,0.028169014084507043,0.1111111111111111,0.6666666666666666,0.9928057553956835,0.9668874172185431,0.7619047619047619,0.7843004769475358,0.9677671370967741,0.01670594610585963,0.04467997292032872
0.05,0.8990384615384617,48,810,42,6,906,54,852,90,816,0.8888888888888888,0.9507042253521126,0.04929577464788732,0.1111111111111111,0.5333333333333333,0.9926470588235294,0.9470198675496688,0.6666666666666666,0.7843004769475358,0.9677671370967741,0.04141889434442626,0.06026928136393768
0.1,0.8540669856459331,49,767,85,5,906,54,852,134,772,0.9074074074074074,0.9002347417840375,0.09976525821596244,0.09259259259259259,0.3656716417910448,0.9935233160621761,0.9006622516556292,0.5212765957446809,0.8162887377173091,0.9761904761904762,0.08234614076844611,0.11896558976947669
0.0,0.9568345323741009,38,852,0,16,906,54,852,38,868,0.7037037037037037,1.0,0.0,0.2962962962962963,1.0,0.9815668202764977,0.9823399558498896,0.8260869565217391,,,,
